#Folder,#Total_Energy (eV),#Num_Atoms,#Energy_per_atom (eV)
id457-dim3-aaa-cP176-1.08-9.02-8.39,-1668.69085617,176,-9.481198046420454
id428-dim3-aaa-cP240-0.78-9.02-8.41,-2295.79064395,240,-9.565794349791666
id39-dim3-aaa-hR126-2.25-9.28-8.71,-412.80651021,42,-9.828726433571429
id83-dim2-aaa-aaa-oS24-2.03-9.17-8.61,-234.53166326,24,-9.772152635833333
id431-dim3-aaa-cP192-1.17-9.02-8.42,-1846.13931596,192,-9.615308937291667
id68-dim3-aaa-cP108-1.15-9.19-8.56,-1051.68603691,108,-9.737833675092592
id196-dim3-aaa-cP168-1.93-9.11-8.51,-1622.51703909,168,-9.657839518392857
id190-dim3-aaa-cP176-1.19-9.12-8.49,-1694.26208417,176,-9.626489114602272
id157-dim3-pbz-m-cP96-1.19-9.13-8.50,-930.69984485,96,-9.694790050520833
id1729-dim3-aaa-hR108-1.72-8.85-8.28,-336.55619838,36,-9.348783288333333
id203-dim3-aaa-cI240-1.57-9.11-8.50,-1160.20551374,120,-9.668379281166667
id150-dim3-aaa-hP30-2.13-9.13-8.56,-288.51266641,30,-9.617088880333334
id1253-dim3-aaa-cP216-2.27-8.90-8.44,-2047.3075216,216,-9.478275562962963
id385-dim3-aaa-cP192-2.22-9.04-8.58,-1852.78812491,192,-9.649938150572916
id82-dim3-aaa-cP192-1.06-9.17-8.56,-1870.41917594,192,-9.741766541354167
id440-dim3-aaa-cP104-1.52-9.02-8.42,-988.74681414,104,-9.507180905192307
id432-dim3-aaa-cP192-1.01-9.02-8.41,-1837.87851097,192,-9.572283911302083
id244-dim3-aaa-cP216-0.90-9.09-8.47,-2081.80944348,216,-9.638006682777778
id206-dim3-aaa-cI288-1.45-9.11-8.49,-1383.15421722,144,-9.605237619583333
id394-dim3-aaa-cI288-1.35-9.04-8.43,-1370.96333005,144,-9.520578680902778
id287-dim3-aaa-cP216-1.32-9.07-8.45,-2071.8015982,216,-9.591674065740742
id69-dim2-aaa-oS32-2.01-9.19-8.62,-156.57451375,16,-9.785907109375
id403-dim3-aaa-cP168-1.22-9.03-8.41,-1608.13695629,168,-9.572243787440476
id288-dim3-aaa-cP128-1.32-9.07-8.46,-1228.87315784,128,-9.600571545625
id424-dim3-aaa-cP216-0.94-9.02-8.36,-2061.14310517,216,-9.542329190601853
id16-dim2-hcb-hcb-oS40-1.80-9.34-8.77,-198.65482127,20,-9.9327410635
