#Filename,#Total_Energy (eV),#Num_Atoms,#Energy_per_atom (eV)
id136-dim3-aaa-cP176-1.14-9.14-8.52,-1581.5533969,176,-8.986098846022728
id466-dim3-aaa-cI144-1.90-9.01-8.45,-638.49290071,72,-8.867956954305555
id469-dim3-aaa-cP216-1.17-9.01-8.43,-1926.39019905,216,-8.91847314375
id493-dim3-aaa-cP192-1.13-9.01-8.40,-1714.25691053,192,-8.928421409010417
id1652-dim3-aaa-cI288-1.42-8.86-8.25,-1256.58677053,144,-8.726297017569443
id398-dim3-aaa-cF640-1.66-9.04-8.46,-1418.32554035,160,-8.8645346271875
id265-dim3-aaa-cP168-1.12-9.08-8.47,-1502.74345366,168,-8.944901509880951
id437-dim3-aaa-cP120-1.45-9.02-8.41,-1059.33348021,120,-8.82777900175
id351-dim0-0-dimensional-cP152-1.25-9.05-8.42,-1359.92992923,152,-8.946907429144737
id326-dim3-aaa-cP116-1.42-9.06-8.44,-1029.58442279,116,-8.875727782672413
id5-dim2-hcb-hcb-hP52-2.31-9.36-8.78,-478.58941569,52,-9.203642609423078
id231-dim3-aaa-cI240-1.56-9.09-8.47,-1064.76692803,120,-8.873057733583332
id462-dim3-aaa-cP120-1.43-9.02-8.34,-1056.16748993,120,-8.801395749416667
id516-dim3-aaa-cP144-0.98-9.00-8.38,-1279.07467884,144,-8.8824630475
id257-dim3-aaa-cP104-1.45-9.08-8.49,-929.27100998,104,-8.935298172884616
id918-dim3-aaa-cF448-2.02-8.93-8.42,-985.16361809,112,-8.79610373294643
id375-dim3-aaa-cP168-1.91-9.04-8.50,-1500.34437102,168,-8.930621256071428
id507-dim3-aaa-cP176-1.11-9.00-8.40,-1559.67100626,176,-8.861767081022727
id476-dim3-aaa-cP104-1.53-9.01-8.41,-917.1945053,104,-8.819177935576922
id267-dim3-aaa-cI256-1.50-9.08-8.47,-1141.2423126,128,-8.9159555671875
id1594-dim3-aaa-aaa-cI480-2.29-8.86-8.35,-2084.53551426,240,-8.68556464275
id452-dim3-hee-cP72-1.74-9.02-8.47,-642.70923799,72,-8.926517194305555
id1663-dim3-aaa-cP176-1.34-8.86-8.24,-1529.19888352,176,-8.68863002
id457-dim3-aaa-cP176-1.08-9.02-8.39,-1549.26442662,176,-8.802638787613636
id428-dim3-aaa-cP240-0.78-9.02-8.41,-2132.31149689,240,-8.884631237041667
id39-dim3-aaa-hR126-2.25-9.28-8.71,-382.63321031,42,-9.110314531190475
id83-dim2-aaa-aaa-oS24-2.03-9.17-8.61,-217.63923953,24,-9.068301647083333
id431-dim3-aaa-cP192-1.17-9.02-8.42,-1714.71357118,192,-8.930799849895832
id68-dim3-aaa-cP108-1.15-9.19-8.56,-977.2396726,108,-9.048515487037037
id196-dim3-aaa-cP168-1.93-9.11-8.51,-1505.32345125,168,-8.960258638392858
id190-dim3-aaa-cP176-1.19-9.12-8.49,-1573.59300801,176,-8.940869363693182
id157-dim3-pbz-m-cP96-1.19-9.13-8.50,-864.81236865,96,-9.0084621734375
id1729-dim3-aaa-hR108-1.72-8.85-8.28,-312.36997763,36,-8.676943823055556
id203-dim3-aaa-cI240-1.57-9.11-8.50,-1077.32924101,120,-8.977743675083333
id150-dim3-aaa-hP30-2.13-9.13-8.56,-267.54544648,30,-8.918181549333333
id1253-dim3-aaa-cP216-2.27-8.90-8.44,-1896.18528195,216,-8.778635564583332
id385-dim3-aaa-cP192-2.22-9.04-8.58,-1716.19834485,192,-8.93853304609375
id82-dim3-aaa-cP192-1.06-9.17-8.56,-1737.5224161,192,-9.049595917187501
id440-dim3-aaa-cP104-1.52-9.02-8.42,-917.98462185,104,-8.826775210096155
id432-dim3-aaa-cP192-1.01-9.02-8.41,-1707.38345676,192,-8.892622170625
id244-dim3-aaa-cP216-0.90-9.09-8.47,-1933.46520104,216,-8.951227782592593
id206-dim3-aaa-cI288-1.45-9.11-8.49,-1284.67324829,144,-8.921342002013889
id394-dim3-aaa-cI288-1.35-9.04-8.43,-1272.8346746,144,-8.839129684722222
id287-dim3-aaa-cP216-1.32-9.07-8.45,-1923.72854089,216,-8.906150652268519
id69-dim2-aaa-oS32-2.01-9.19-8.62,-145.31081243,16,-9.081925776875
id403-dim3-aaa-cP168-1.22-9.03-8.41,-1493.54915577,168,-8.89017354625
id288-dim3-aaa-cP128-1.32-9.07-8.46,-1140.98469049,128,-8.913942894453125
id424-dim3-aaa-cP216-0.94-9.02-8.36,-1915.34236934,216,-8.867325783981482
id16-dim2-hcb-hcb-oS40-1.80-9.34-8.77,-184.56661787,20,-9.228330893499999
id357-dim3-aaa-cP152-1.20-9.05-8.43,-1347.63507589,152,-8.866020236118421
id293-dim2-hne-hne-oF32-1.93-9.07-8.49,-71.87166818,8,-8.9839585225
id481-dim3-aaa-cP176-1.08-9.01-8.41,-1557.31885837,176,-8.848402604375
id1241-dim2-dhh-oP12-1.73-8.90-8.33,-106.55035465,12,-8.879196220833334
id314-dim3-aaa-cP200-0.95-9.06-8.43,-1776.88437671,200,-8.884421883549999
id85-dim3-aaa-oS48-2.10-9.17-8.67,-215.27097037,24,-8.969623765416666
id378-dim3-aaa-cP128-1.32-9.04-8.42,-1135.3850333,128,-8.87019557265625
id1627-dim3-aaa-cF256-2.00-8.86-8.30,-555.69576322,64,-8.6827463003125
id1682-dim3-aaa-cI208-1.88-8.86-8.33,-899.60126003,104,-8.650012115673077
id854-dim2-jvh-mS16-1.68-8.94-8.35,-70.85878515,8,-8.85734814375
id464-dim3-aaa-cI336-1.41-9.01-8.38,-1488.61250364,168,-8.860788712142858
id715-dim3-aaa-cP168-2.01-8.96-8.48,-1491.02277447,168,-8.875135562321429
id1636-dim3-aaa-cF960-1.21-8.86-8.22,-2077.04800854,240,-8.65436670225
id458-dim3-aaa-cP240-1.30-9.02-8.40,-2141.86105749,240,-8.924421072874999
id382-dim3-aaa-cP152-1.21-9.04-8.42,-1347.74506164,152,-8.866743826578947
id480-dim3-aaa-cP116-1.44-9.01-8.41,-1028.8648268,116,-8.869524368965516
id1474-dim3-aaa-cI120-2.09-8.87-8.42,-528.35098561,60,-8.805849760166666
id1545-dim3-aaa-cP168-0.95-8.87-8.25,-1459.72409407,168,-8.68883389327381
id163-dim3-aaa-hP26-0.80-9.13-8.59,-234.7061275,26,-9.02715875
id377-dim3-aaa-cF480-1.24-9.04-8.44,-1065.38584889,120,-8.878215407416667
id66-dim2-hnd-hnd-oI48-2.03-9.19-8.64,-217.96707424,24,-9.081961426666666
id426-dim3-aaa-cP216-1.19-9.02-8.42,-1926.29992613,216,-8.918055213564815
id330-dim3-pbz-cP24-2.16-9.06-8.57,-215.69061454,24,-8.987108939166667
id80-dim3-mct-cI192-1.16-9.17-8.55,-867.63479815,96,-9.037862480729167
id618-dim3-aaa-cI168-1.92-8.98-8.45,-747.11348446,84,-8.894208148333334
